,paper_id,input,output
0,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,"local differential privacy constraints FEATURE-OF FL. communication efficiency CONJUNCTION highdimensional compatibility. highdimensional compatibility CONJUNCTION communication efficiency. communication costs EVALUATE-FOR gradient subsampling strategy. randomized rotation USED-FOR quantization error. Method are privacy - preserving FL algorithms, and gradient - based learning algorithm sqSGD. Generic is base algorithm. ","This paper studies the problem of privacy-preserving FL algorithms. In particular, the authors consider FL with local differential privacy constraints. The authors propose a gradient subsampling strategy to reduce communication costs while maintaining highdimensional compatibility. The proposed base algorithm sqSGD is a generalization of the gradient-based learning algorithm. To reduce the quantization error, randomized rotation is used."
1,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,low communication algorithm USED-FOR multivariate mean estimation. federated learning setting FEATURE-OF multivariate mean estimation. differentially private communication USED-FOR low communication algorithm. randomized rotation USED-FOR quantization error. quantization CONJUNCTION dimension subsampling. dimension subsampling CONJUNCTION quantization. random orthogonal matrix USED-FOR quantization error. random orthogonal matrix USED-FOR randomized rotation. randomized rotation USED-FOR algorithm. quantization USED-FOR algorithm. dimension subsampling USED-FOR algorithm. algorithm USED-FOR ERM. it USED-FOR SGD. benchmark datasets EVALUATE-FOR algorithm. epsilon CONJUNCTION discretization parameter. discretization parameter CONJUNCTION epsilon. ,"This paper proposes a low communication algorithm for multivariate mean estimation in the federated learning setting using differentially private communication. The algorithm uses randomized rotation on a random orthogonal matrix to reduce the quantization error and dimension subsampling. The proposed algorithm is applied to ERM and it can be applied to SGD as well. Experiments on benchmark datasets show the effectiveness of the proposed algorithm. The main contributions of the paper are: (1) quantization, (2) epsilon and (3) discretization parameter."
2,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,"differentially private training algorithm USED-FOR federated learning. privacy mechanism CONJUNCTION random rotation. random rotation CONJUNCTION privacy mechanism. random rotation USED-FOR quantization error. random rotation CONJUNCTION gradient coordinate selection mechanism. gradient coordinate selection mechanism CONJUNCTION random rotation. gradient coordinate selection mechanism USED-FOR communication / computation. algorithm USED-FOR SGD. components USED-FOR SGD. components PART-OF algorithm. random rotation PART-OF components. gradient coordinate selection mechanism PART-OF components. privacy mechanism PART-OF components. algorithm COMPARE baseline algorithm. baseline algorithm COMPARE algorithm. Task is communication reduction. OtherScientificTerm are differential privacy, and high \epsilon local differentially privacy guarantees. ","This paper proposes a differentially private training algorithm for federated learning. The main contribution of this paper is to propose a new algorithm for SGD with three components: a privacy mechanism, a random rotation to reduce the quantization error, and a gradient coordinate selection mechanism to reduce communication/computation. In particular, the authors focus on the problem of communication reduction in the context of differential privacy and provide high \epsilon local differentially privacy guarantees. Experiments show that the proposed algorithm outperforms the baseline algorithm."
3,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,language statistics CONJUNCTION prior knowledge. prior knowledge CONJUNCTION language statistics. language statistics USED-FOR LSTM based NMT models. prior knowledge USED-FOR LSTM based NMT models. LSTM based NMT models USED-FOR self - attention based NMT models. prior knowledge CONJUNCTION SMT model. SMT model CONJUNCTION prior knowledge. language statistics CONJUNCTION SMT model. SMT model CONJUNCTION language statistics. word frequency information CONJUNCTION prior translation lexicon information. prior translation lexicon information CONJUNCTION word frequency information. prior translation lexicon information USED-FOR bilingual data. word frequency information CONJUNCTION monolingual data. monolingual data CONJUNCTION word frequency information. alternatives USED-FOR prior knowledge. word frequency information HYPONYM-OF alternatives. prior translation lexicon information HYPONYM-OF alternatives. word frequency information HYPONYM-OF prior knowledge. prior translation lexicon information HYPONYM-OF prior knowledge. resources PART-OF hidden representations. self - attention computations USED-FOR hidden representations. method USED-FOR NMT model. WMT17 Zh->En HYPONYM-OF NMT datasets. Task is neural machine translation problem. Method is Transformer model. ,"This paper studies the neural machine translation problem and proposes to use language statistics and prior knowledge to train self-attention based NMT models that combine language statistics with prior knowledge and SMT model. The authors propose alternatives to prior knowledge such as word frequency information, prior translation lexicon information for bilingual data and monolingual data. These resources are added to the hidden representations via self attention computations. The proposed method is applied to a NMT model trained on two NMT datasets (WMT17 Zh->En and Transformer model)."
4,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,Transformer - based sentence encoders USED-FOR neural machine translation ( NMT ). method USED-FOR Transformer - based sentence encoders. method USED-FOR prior knowledge. prior knowledge PART-OF Transformer - based sentence encoders. matrix USED-FOR prior knowledge. query matrix USED-FOR NMT component. procedure USED-FOR prior knowledge representation matrix. gating mechanism USED-FOR Transformer encoder output. OtherScientificTerm is prior knowledge matrix. Method is Transformer self - attention mechanism. ,"This paper proposes a method to incorporate prior knowledge into Transformer-based sentence encoders for neural machine translation (NMT). The key idea is to use the query matrix of the NMT component as a prior knowledge matrix, and use this matrix to represent the prior knowledge of the Transformer self-attention mechanism. The paper also proposes a gating mechanism to prevent Transformer encoder output from being corrupted. Finally, the paper presents a procedure to convert the prior information representation matrix."
5,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,method USED-FOR prior knowledge. method USED-FOR Transformer models. prior knowledge PART-OF Transformer models. gating mechanism USED-FOR sefl - attention block. self - attention block USED-FOR prior knowledge. word frequency FEATURE-OF prior knowledge. Generic is approach. ,This paper proposes a method to incorporate prior knowledge into Transformer models. The key idea is to use a gating mechanism in the sefl-attention block to encourage the prior knowledge to be concentrated in the self-attentive block. The approach is based on the observation that prior knowledge with high word frequency is more likely to be clustered.
6,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,Moving Target Defense ( MTD ) systems HYPONYM-OF defender - attacker game. game - theoretic model USED-FOR Bayesian Stackelberg Markov Games ( BSMGs ). formalism USED-FOR Moving Target Defense ( MTD ) systems. game - theoretic model USED-FOR formalism. defender - attacker game USED-FOR cybersecurity. algorithm USED-FOR Stackelberg equilibrium. Stackelberg equilibrium PART-OF BSMGs. policies USED-FOR MTD settings. BSS - Q algorithm USED-FOR Strong Stackelberg Equilibrium. BSS - Q algorithm USED-FOR BSMGs. Strong Stackelberg Equilibrium PART-OF BSMGs. Method is Markov games. ,"This paper proposes a formalism for Bayesian Stackelberg Markov Games (BSMGs) based on a game-theoretic model of Markov games. The formalism is applied to Moving Target Defense (MTD) systems, a defender-attacker game in the context of cybersecurity. The authors propose an algorithm to find the Steckelberg equilibrium of BSMGs using the BSS-Q algorithm, and show that the proposed policies can be applied to MTD settings."
7,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,defense methods USED-FOR cybersecurity. model USED-FOR strategic behaviors. optimal movement policy USED-FOR BSMG. Bayesian Strong Stackelberg Q - learning USED-FOR optimal movement policy. Bayesian Strong Stackelberg Q - learning USED-FOR BSMG. Method is Bayesian Stackelberg Markov Games ( BSMG ). ,"This paper studies defense methods in the context of cybersecurity. The authors propose Bayesian Stackelberg Markov Games (BSMG), a model for learning strategic behaviors. BSMG is based on Bayesian Strong Stackekelberg Q-learning to learn an optimal movement policy for each state of the game."
8,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,Bayesian Stackelberg Markov Game ( BSMG ) model USED-FOR defensive strategies. Bayesian Strong Stackelberg Q - learning method USED-FOR defense policies. Bayesian Strong Stackelberg Equilibrium USED-FOR BSMG. solver USED-FOR Bayesian Strong Stackelberg Equilibrium. Method is game - theoretic models. ,"This paper proposes a Bayesian Stackelberg Markov Game (BSMG) model for learning defensive strategies. The main contribution of this paper is to propose a new defense policies based on the recently proposed Bayesian Strong Stackekelberg Q-learning method. The key idea is to use a solver to approximate the Bayesian version of BSMG, which is an extension of game-theoretic models. "
9,SP:97911e02bf06b34d022e7548beb5169a1d825903,technique USED-FOR disentanglement. latent spaces USED-FOR VAE models. method USED-FOR It. they USED-FOR disentangling. linear transformations CONJUNCTION cross - model ” reconstruction loss. cross - model ” reconstruction loss CONJUNCTION linear transformations. linear transformations USED-FOR VAE ensemble. Generic is models. ,"This paper proposes a technique for disentanglement of VAE models in latent spaces. It is an extension of the method proposed by [1]. The main difference is that instead of using linear transformations in the VAE ensemble, the authors propose to use linear transformations and a “cross-model” reconstruction loss. The authors claim that they are more effective at disentangling the models."
