,epoach,iteration,loss,rouge-1,rouge-2,rouge-l,rouge-avg
0,0,1,"tensor(16.5751, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
1,0,2,"tensor(13.7656, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
2,0,3,"tensor(13.0681, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
3,0,4,"tensor(12.6564, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
4,0,5,"tensor(12.5763, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
5,0,6,"tensor(12.1400, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
6,0,7,"tensor(11.8446, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
7,0,8,"tensor(11.1301, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
8,0,9,"tensor(11.0966, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
9,0,10,"tensor(11.3286, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
10,0,11,"tensor(11.2850, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
11,0,12,"tensor(11.4582, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
12,0,13,"tensor(11.0205, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
13,0,14,"tensor(10.9221, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
14,0,15,"tensor(11.0603, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
15,0,16,"tensor(10.8926, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
16,0,17,"tensor(10.8144, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
17,0,18,"tensor(10.1139, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
18,0,19,"tensor(10.1226, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
19,0,20,"tensor(10.6820, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
20,0,21,"tensor(10.2099, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
21,0,22,"tensor(10.0974, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
22,0,23,"tensor(10.6656, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
23,0,24,"tensor(10.2573, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
24,0,25,"tensor(10.4128, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
25,0,26,"tensor(10.0152, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
26,0,27,"tensor(10.2383, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
27,0,28,"tensor(9.8958, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
28,0,29,"tensor(9.3717, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
29,0,30,"tensor(9.5328, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
30,0,31,"tensor(9.3625, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
31,0,32,"tensor(9.5327, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
32,0,33,"tensor(9.6241, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
33,0,34,"tensor(9.5195, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
34,0,35,"tensor(9.2809, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
35,0,36,"tensor(9.1247, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
36,0,37,"tensor(9.1565, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
37,0,38,"tensor(9.1247, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
38,0,39,"tensor(8.8379, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
39,0,40,"tensor(8.8469, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
40,0,41,"tensor(8.9738, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
41,0,42,"tensor(8.5952, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
42,0,43,"tensor(8.5425, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
43,0,44,"tensor(8.2422, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
44,0,45,"tensor(8.1934, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
45,0,46,"tensor(7.8377, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
46,0,47,"tensor(7.6779, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
47,0,48,"tensor(7.7503, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
48,0,49,"tensor(7.5962, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
49,0,50,"tensor(7.6463, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
50,0,51,"tensor(7.2244, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
51,0,52,"tensor(7.1133, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
52,0,53,"tensor(6.9429, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
53,0,54,"tensor(6.8561, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
54,0,55,"tensor(6.7956, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
55,0,56,"tensor(6.8378, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
56,0,57,"tensor(6.9020, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
57,0,58,"tensor(6.9040, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
58,0,59,"tensor(6.7221, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
59,0,60,"tensor(6.8276, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
60,0,61,"tensor(6.6299, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
61,0,62,"tensor(6.6684, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
62,0,63,"tensor(6.6132, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
63,0,64,"tensor(6.4873, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
64,0,65,"tensor(6.4982, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
65,0,66,"tensor(6.5081, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
66,0,67,"tensor(6.2839, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
67,0,68,"tensor(6.4412, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
68,0,69,"tensor(6.2844, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
69,0,70,"tensor(6.3450, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
70,0,71,"tensor(6.2305, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
71,0,72,"tensor(6.2384, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
72,0,73,"tensor(6.1618, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
73,0,74,"tensor(6.0959, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
74,0,75,"tensor(6.0870, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
75,0,76,"tensor(5.9517, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
76,0,77,"tensor(5.9735, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
77,0,78,"tensor(6.0348, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
78,0,79,"tensor(5.9954, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
79,0,80,"tensor(6.0022, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
80,0,81,"tensor(5.8712, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
81,0,82,"tensor(5.7549, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
82,0,83,"tensor(5.6529, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
83,0,84,"tensor(5.5587, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
84,0,85,"tensor(5.7552, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
85,0,86,"tensor(5.6418, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
86,0,87,"tensor(5.7482, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
87,0,88,"tensor(5.7630, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
88,0,89,"tensor(5.7385, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
89,0,90,"tensor(5.7016, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
90,0,91,"tensor(5.6511, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
91,0,92,"tensor(5.6310, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
92,0,93,"tensor(5.6206, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
93,0,94,"tensor(5.5833, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
94,0,95,"tensor(5.6066, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
95,0,96,"tensor(5.5891, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
96,0,97,"tensor(5.5371, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
97,0,98,"tensor(5.4895, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
98,0,99,"tensor(5.5620, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
99,0,100,"tensor(5.4337, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
100,0,101,"tensor(5.4537, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
101,0,102,"tensor(5.3679, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
102,0,103,"tensor(5.4847, device='cuda:0', grad_fn=<NllLossBackward0>)",,,,
