paper_id,summary
SP:b19df5243359791fbaad005d6f13d7e9fdb0ff63,"This paper proposes a new method for multi - agent learning based on role - based learning. The proposed method first decompose joint action spaces into restricted role action spaces by clustering actions according to their effects on the environment and other agents. Then, a role selector and a role policy are learned in a bi - level learning hierarchy : the role selector searches in a smaller role space and at a lower temporal resolution, while the role policies learn in significantly reduced primitive action - observation spaces. Finally, the proposed method further integrates information about action effects into role policies to boost learning efficiency and policy generalization."
SP:7deb61890d97422a0fe141ca807f968c70ab239a,"This paper studies the behaviour of the stochastic subgradient descent ( SSGD ) method applied to over - parameterized nonsmooth optimization problems that satisfy an interpolation condition. By leveraging the composite structure of the empirical risk minimization problems, the authors prove that SSGD converges, respectively, with rates O(1/ ) and O(log(1 / ) for convex and strongly - convex objectives when interpolation holds. These rates coincide with established rates for SGD methods applied to smooth problems. The analysis provides a partial explanation for the empirical observation that sometimes SGD and SSGD behave similarly for training smooth and nonsmoot machine learning models."
SP:c7e0b3fedc0d0409d662dd612b529fdacad2b03e,"This paper presents a method to train a transformer architecture with non - linear "" reservoir "" layers. The authors propose a new metric, AUCC, to measure the trade - off between performance and efficiency. They also show that the backward pass can be entirely skipped by approximating top - layer gradients using an approach they call backskipping, with a relatively small sacrifice."
SP:ba9f1d4738ec67a440346f3ac6c4cf35f7232077,"This paper studies the connection between the recent steerable CNN structure based on group representation theory and the conventional transformed filters. To this end, the authors propose a new approach ( FILTRA ) to use filter transform to establish steerability between features in different group representation in cyclic group CN and dihedral group DN. Experiments are performed on multiple datasets to verify the feasibility of the proposed approach."
SP:c1116fbb4d058eb6be195b5d13d19a55ba86b602,This paper presents a method for multimodal program synthesis. The authors propose a top - down recurrent neural model that places distributions over abstract syntax trees conditioned on the input - output examples. The proposed method is evaluated on the STRUCTUREDREGEX dataset ( Ye et al. 2020a ) for synthesizing regular expressions from linguistically diverse natural language descriptions and positive / negative examples. They show that their method substantially outperforms prior state - of - the - art techniques in terms of accuracy and explores fewer states during search.
SP:55e02d79146bbb42f1ab6d4fafa2db5ddbe599b0,This paper presents a protein graph convolutional neural network ( PGCN ) that uses a structure - based molecular interaction graph generated using the Rosetta energy function that describes the topology and energetic features to determine the substrate specificity of a protease enzyme. The proposed method is used to predict the specificity of the NS3/4 protease from the Hepatitic C virus. The authors compare the performance of the proposed method with other machine learning models and show that its performance in classification tasks is equivalent or better than other methods.
SP:7727eeb7b17ad94ddfa0cf24e64a9626d83a8876,"This paper studies the problem of underestimation bias in double Q - learning. In particular, the authors show that there are multiple non - optimal fixed points under an approximate Bellman operator. To address this problem, they propose a novel value estimator, named doubly bounded estimator that utilizes an abstracted dynamic programming as a lower bound estimation to rule out the potential non - optimality fixed points. The experiments show that the proposed method has shown great promise in improving both sample efficiency and convergence performance."
SP:1d630b69f95392a5ef3d7d580b523e077a3555a8,"This paper presents a two - step training framework for deep generative models ( DGMs ) of high - resolution natural images. The first step is to generate images in low - frequency bands by training a sampler in the wavelet domain and then super - resolution them back to the pixel - space with a novel wavelet - based down - sampling method. Since the sampler and decoder can be trained in parallel and operate on much lower dimensional spaces than end - to - end models, the training cost is substantially reduced. The model achieves a Fréchet Inception Distance ( FID ) of 10.59 – beating the baseline BigGAN model – at half the compute ( 256 TPU - v3 cores )."
SP:b943a73b1ec34867371325748dc3a91ff4011947,"This paper studies the few - shot learning ( FSL ) problem with self - supervised learning ( SSL ) algorithms. The authors analyze the main difference between supervised training and self - supervised training on FSL and obtain the bound for the gap between the self - supervision loss and the supervised loss. They show that under the two assumptions, one can get a test performance close to supervised training. Experiments on Omniglot also support the theoretical analysis."
SP:bd552f98e6a447cefa6b1a9bbdf40bc6539fb643,"This paper studies the convergence of two - layer teacher - student neural networks. In particular, it shows that under the most basic settings, all student neurons must align with the teacher neuron at any local minima. The authors show that under more general cases, the proof can be reduced to analyzing the properties of a special class of functions that we call angular distance ( AD ) functions. The minimum determinant of the associated matrices are always non - positive unless perfect alignment or the problem degenerates."
SP:0f62846913ec10b44ed32845770da0565479dc75,"This paper proposes a method for augmenting the training data with knowledge about the data. The method is based on the idea of adaptive semantic logic ( DASL ), where the knowledge is expressed in the form of first - order logic. The authors show that the proposed method can be applied to the MNIST toy problem and a visual relationship detection task. The proposed method is evaluated on two computer vision problems with limited training data.  "
SP:2f19259d65fab904c1b771244da3dcb2f8aa0c26,"This paper proposes a new regularization method to make feedforward residual neural networks ( ResNets ) approximate iterative recurrent computations. The authors define three indices of iterative convergence : iteration, convergence, and Lipschitz convergence. They show that the proposed method does n’t improve classification accuracy on standard visual recognition tasks ( MNIST, CIFAR-10 ) or on challenging recognition tasks with partial occlusions ( Digitclutter )."
SP:6c14506b8b2b06043409d912e6bf877651aaa665,"This paper proposes two new normalization methods for improving out - of - distribution ( OOD ) robustness. The main idea is to use attention to recalibrate statistics ( channel - wise mean and variance ), while CrossNorm exchanges the statistics between feature maps. Extensive experiments on different domains ( vision and language ), tasks ( classification and segmentation ), and settings ( supervised and semi - supervised ) show the effectiveness of the proposed methods."
SP:2774abdc11917321dd4994af0f0da1ff824bea03,This paper presents a simple yet effective architecture for RL from pixels. The authors propose and study the effectiveness of augmenting a simple attention module in the convolutional encoder of an RL agent with an attention module. The proposed module can extract interpretable task - relevant information such as agent locations and movements without the need for data augmentations or contrastive losses. Experiments on the DeepMind Control Suite environments show that the proposed module significantly improves the sample - efficiency and final performance of the agents.
SP:31a7051d08d19c01e11f1fac2f3041ed2fa28f15,This paper proposes a new algorithm for multi - task learning. The proposed algorithm is based on the Stackelberg game. The main idea is to add a layer of rotation matrices that aligns all the task gradients. The authors analyze the algorithm through the lens of game theory and provide theoretical guarantees on the algorithm stability and convergence. Experiments on several real - world datasets and network architectures show that the proposed algorithm outperforms previous approaches.
