paper_id,summary
SP:b19df5243359791fbaad005d6f13d7e9fdb0ff63,"This paper proposes a new multi - agent role - based learning algorithm for StarCraft II. The main idea is to decompose joint action spaces into restricted role action spaces by clustering actions according to their effects on the environment and other agents. The role selector searches in a smaller role space and at a lower temporal resolution, while the role policies learn in significantly reduced primitive action - observation spaces. The proposed method achieves state - of - the - art performance on the StarCraft II benchmark and achieves rapid transfer to new environments with three times the number of agents."
SP:7deb61890d97422a0fe141ca807f968c70ab239a,"This paper studies the behavior of the stochastic subgradient descent ( SSGD ) method applied to over - parameterized nonsmooth optimization problems that satisfy an interpolation condition. By leveraging the composite structure of the empirical risk minimization problems, the authors prove that SSGD converges, respectively, with rates O(1 / ) and O(log(1/ ) for convex and strongly - convex objectives when interpolation holds. These rates coincide with established rates for SGD methods applied to smooth problems. The analysis provides a partial explanation for the empirical observation that sometimes SGD and SSGD behave similarly for training smooth and nons mooth machine learning models."
SP:c7e0b3fedc0d0409d662dd612b529fdacad2b03e,"This paper proposes a novel method for training non - linear transformers in machine translation tasks. The proposed method is based on the idea of "" reservoir layers "", which consists of a set of regular transformer layers interspersed with "" reservoir "" layers that are randomly initialized and never updated. The method is evaluated on machine translation and ( masked ) language modelling tasks and shows improvements in wall - clock compute time until convergence."
SP:ba9f1d4738ec67a440346f3ac6c4cf35f7232077,This paper studies the relation between steerable CNN and group representation theory. The authors show that filter transformed kernels can be used to convolve input / output features in different group representation. They then propose a new approach ( FILTRA ) to use filter transform to establish steerability between features in group representation in cyclic group CN and dihedral group DN. Experiments are executed on multiple datasets to verify the feasibility of the proposed approach.
SP:c1116fbb4d058eb6be195b5d13d19a55ba86b602,This paper proposes an optimal neural synthesis approach for multimodal program synthesis tasks in which the user intent is expressed using combination of natural language ( NL ) and input - output examples. At the core of the method is a top - down recurrent neural model that places distributions over abstract syntax trees conditioned on the NL input. This model not only allows for efficient search over the space of syntactically valid programs but also leverage automated program analysis techniques for pruning the search space based on infeasibility of partial programs with user constraints. The experimental results show that the proposed method substantially outperforms prior state - of - the - art techniques in terms of accuracy and explores fewer states during search.
SP:55e02d79146bbb42f1ab6d4fafa2db5ddbe599b0,"This paper presents a protein graph convolutional neural network ( PGCN ) to predict the substrate specificity landscape of a protease enzyme. The proposed method uses a physically intuitive, structure - based molecular interaction graph generated using the Rosetta energy function that describes the topology and energetic features to determine substrate specificity. The paper shows that the proposed method is as good as or better than other previously used machine learning models for protease specificity prediction and highlights critical subgraph patterns responsible for observed specificity patterns."
SP:7727eeb7b17ad94ddfa0cf24e64a9626d83a8876,"This paper studies the problem of underestimation bias in double Q - learning. The authors show that under an approximate Bellman operator, there are multiple non - optimal fixed points in the model. To address this problem, the authors propose a novel value estimator named doubly bounded estimator, that utilizes an abstracted dynamic programming as a lower bound estimation to rule out the potential non - optimal fixed points. The proposed method is evaluated on several Atari benchmark tasks and shows significant improvement over baseline algorithms."
SP:1d630b69f95392a5ef3d7d580b523e077a3555a8,"This paper proposes a two - step training framework for deep generative models ( DGMs ) of high - resolution natural images. First, they generate images in low - frequency bands by training a sampler in the wavelet domain. Then, they use a wavelet - based down - sampling method to train a decoder network. Since the sampler and decoder can be trained in parallel and operate on much lower dimensional spaces than end - to - end models, the training cost is substantially reduced. On ImageNet 512×512, their model achieves a FID of 10.59 – beating the baseline BigGAN model – at half the compute ( 256 TPU-v3 cores )."
SP:b943a73b1ec34867371325748dc3a91ff4011947,This paper studies the few - shot learning ( FSL ) problem in the context of self - supervised learning ( SSL ). The authors provide a theoretical analysis of why SSL is suitable for FSL and the main difference between supervised training and self - supervised training on FSL. They also provide the bound for the gap between self - supervision loss and supervised loss in FSL tasks. Experiments on Omniglot show the effectiveness of the proposed method.
SP:bd552f98e6a447cefa6b1a9bbdf40bc6539fb643,"This paper studies the convergence of two - layer teacher - student neural networks with finite width. The authors show that the input weights of student neurons eventually align with one of the teacher neurons at any local minima. This suggests a distinct convergence nature for “ not - too - wide ” neural networks. Theoretical justification is provided to prove that under the most basic settings, all student neurons must align with the teacher neuron at any locally minima under the theoretical justification. The methodology is extendable to more general cases, where the proof can be reduced to analyzing the properties of a special class of functions that the authors call Angular Distance ( AD ) function."
SP:0f62846913ec10b44ed32845770da0565479dc75,This paper proposes a novel framework for incorporating formal knowledge into the training of deep neural networks that incorporate user - provided formal knowledge to improve learning from data. The authors provide formal semantics that demonstrate that their knowledge representation captures all of first order logic and that finite sampling from infinite domains converges to correct truth values. Experiments are conducted on a visual relationship detection task and demonstrate that the addition of commonsense knowledge improves performance by 10.7 % in conditions of data scarcity.
SP:2f19259d65fab904c1b771244da3dcb2f8aa0c26,"This paper proposes a regularization approach to improve the performance of feedforward residual neural networks ( ResNets ). The authors define three indices of iterative convergence based on the gradient coupling and the Lipschitz constraint on the residual functions using spectral normalization to make the networks more iterative and convergent. The results show that the proposed method does not improve classification accuracy on standard visual recognition tasks ( MNIST, CIFAR-10, Cifar-100 ) or on challenging recognition tasks with partial occlusions."
