paper_id,summary
SP:b19df5243359791fbaad005d6f13d7e9fdb0ff63,"This paper proposes to decompose joint action spaces into restricted role action spaces by clustering actions according to their effects on the environment and other agents. The role selector searches in a smaller role space and at a lower temporal resolution, while role policies learn in significantly reduced primitive action - observation spaces. The paper further integrates information about action effects into the role policies to boost learning efficiency and policy generalization. By virtue of these advances, the proposed method outperforms the current state - of - the - art MARL algorithms and achieves rapid transfer to new environments with three times the number of agents."
SP:7deb61890d97422a0fe141ca807f968c70ab239a,"This paper studies the behavior of stochastic subgradient descent ( SSGD ) method applied to over - parameterized nonsmooth optimization problems that satisfy an interpolation condition. By leveraging the composite structure of the empirical risk minimization problems, the authors prove that SSGD converges, respectively, with rates O(1 / ) and O(log(1/ ) ) for convex and strongly - convex objectives when interpolation holds. These rates coincide with established rates for the stochastically gradient descent ( SGD ) method, applied to smooth problems that also satisfy an extrapolation condition. The analysis provides a partial explanation for the empirical observation that sometimes SGD and SSGD behave similarly for training smooth and nons mooth machine learning models.   The authors also prove that the rate $ O(\sqrt{1/\log 1/\alpha)$ is optimal for the subgradient method in the convex   and interpolation setting."
SP:c7e0b3fedc0d0409d662dd612b529fdacad2b03e,"This paper proposes to use a transformer - based model as a "" reservoir "" model for random initialization in machine translation ( MT ) and language modelling ( LMs ). The main idea is to use random initialization as a proxy for non - linearity in the transformer layers. The authors show that adding random initialization to transformer layers leads to a reduction in wall - clock compute time until convergence ( WCTC ), as well as improved performance on MT and LMs. The paper is well - written, easy to follow, and easy to understand."
SP:ba9f1d4738ec67a440346f3ac6c4cf35f7232077,"This paper studies the connection between group representation theory and steerable CNNs. In particular, it shows that kernel constructed by filter transform can be interpreted in the group representation framework and that filter transformed kernels can be used to convolve input / output features in different group representation. The paper also provides a novel and simple approach to implement steerable convolutional operators to improve the robustness on geometry transformation of data."
SP:c1116fbb4d058eb6be195b5d13d19a55ba86b602,"This paper proposes an optimal neural program synthesis approach to the multimodal program synthesis task where the goal is to find a program that satisfies user - provided constraints while maximizing the program ’s score with respect to a neural model. Specifically, the problem is in which the user intent is expressed using combination of natural language ( NL ) and input - output examples. At the core of the proposed method is a top - down recurrent neural model that places distributions over abstract syntax trees conditioned on the NL input. This model not only allows for efficient search over the space of syntactically valid programs, but it also allows us to leverage automated program analysis techniques for pruning the search space based on infeasibility of partial partial programs with constraints. The experimental results show that our method substantially outperforms prior state - of - the - art techniques in terms of accuracy and explores fewer states during search."
SP:55e02d79146bbb42f1ab6d4fafa2db5ddbe599b0,This paper proposes a method for predicting the specificity of a protein with respect to a target target using a structure - based molecular interaction graph. The method is based on a protein graph convolutional neural network ( PGCN ) that uses the Rosetta energy function ( RFE ) to determine the topology and energetic features of the graph to determine substrate specificity. The model is robust to small mutational changes. The proposed method also readily lends itself to the design of novel enzymes with tailored specificity against disease targets. The authors compare the proposed method with previously used machine learning models and show that its performance in classification tasks is equivalent or better.
SP:7727eeb7b17ad94ddfa0cf24e64a9626d83a8876,"Double Q - learning is a classical method for reducing overestimation bias, which is caused by taking maximum estimated values in the Bellman operation. This paper shows that such underestimation bias may lead to multiple non - optimal fixed points under an approximate approximate Bellman operator. To address the concerns of converging to non - optimal stationary solutions, this paper proposes a simple but effective approach as a partial fix. This approach leverages an approximate dynamic programming to bound the target value. Experiments on the Atari benchmark tasks demonstrate its significant improvement over baseline algorithms."
SP:1d630b69f95392a5ef3d7d580b523e077a3555a8,"This paper proposes a two - step training framework for deep generative models ( DGMs ) of high - dimensional natural images. The first step is to train a low - resolution sampler ( decoder network ) to generate images in low - frequency bands by training a sampler in the wavelet domain. Then, the high - resolution decoder is used to map the generated images to the latent space of interest using a GAN - based image super - resolution model. The proposed method is shown to improve the generative quality of the sampler and to reduce the training cost substantially. On ImageNet 512×512, the proposed method achieves a Fréchet Inception Distance ( FID ) of 10.59 – beating the baseline BigGAN model – at half the compute ( 256 TPU-v3 cores )."
SP:b943a73b1ec34867371325748dc3a91ff4011947,"This paper studies few - shot learning ( FSL ) from the perspective of self - supervised learning ( SSL ). FSL aims at distilling transferable knowledge on existing classes with large - scale labeled data to cope with novel classes for which only a few labeled data are available. The authors first summarized the supervised FSL methods and explained why SSL is suitable for FSL. Then they further analyzed the main difference between supervised training and self -supervised training on FSL and obtained the bound for the gap between self - supervised loss and supervised loss. Finally, they proposed potential ways to improve the test accuracy under the setting of FSL in theory."
SP:bd552f98e6a447cefa6b1a9bbdf40bc6539fb643,"This paper studies the convergence properties of a two - layer teacher - student neural network with two hidden layers. The authors show that the input weights of student neurons eventually align with one of the teacher neurons, suggesting a distinct convergence nature for “ not - too - wide ” neural networks that there might not be any local minima near the initialization. They also show that under the most basic settings, all student neurons must align with the teacher neuron at any local minimum. The methodology is extendable to more general cases, where the proof can be reduced to analyzing the properties of the angular distance ( AD ) function. Finally, the authors demonstrate that these properties can be easily proved."
SP:0f62846913ec10b44ed32845770da0565479dc75,"This paper proposes Deep Adaptive Semantic Logic ( DASL ), a framework for automating the generation of deep neural networks that incorporates user - provided formal knowledge to improve learning from data. The authors provide formal semantics that demonstrate that our knowledge representation captures all of first order logic and that finite sampling from infinite domains converges to correct truth values. The representation improves on prior neuro - symbolic work by avoiding vanishing gradients, allowing deeper logical structure, and enabling richer interactions between the knowledge and learning components. The paper illustrates the proposed framework through a toy problem in which one can add structure to an image classification task and demonstrate that knowledge of that structure reduces data requirements by a factor of 1000. The experiments show that the addition of commonsense knowledge improves performance by 10.7 % in conditions of data scarcity."
SP:2f19259d65fab904c1b771244da3dcb2f8aa0c26,"This paper studies the relationship between feedforward residual neural networks ( ResNets ) and iterative computations. The authors show that even though such networks can express iterative solutions, they do not learn them when trained conventionally on computer vision tasks. They then introduce regularizations to encourage iterative convergent computation and introduce a Lipschitz constraint on the residual functions using spectral normalization to make the networks more convergent. Experiments on standard visual recognition tasks ( MNIST, CIFAR-10, Cifar-100 ) and challenging recognition tasks with partial occlusions ( Digitclutter ) show that the proposed regularization method does not improve classification accuracy or provide a useful inductive bias for such networks."
SP:6c14506b8b2b06043409d912e6bf877651aaa665,"This paper proposes two new normalization techniques for out - of - distribution ( OOD ) generalization. The first one is called SelfNorm, which recalibrates statistics ( channel - wise mean and variance ) for IID data. The second one, called CrossNorm, is a variant of SelfNorm that uses attention to recalibrate statistics between feature maps. Experiments are conducted on both supervised and semi - supervised settings to show the effectiveness of the proposed methods."
SP:2774abdc11917321dd4994af0f0da1ff824bea03,"This paper proposes to use attention mechanism in the convolutional encoder of an RL agent to extract task - relevant information without the need for data augmentations or contrastive losses. The proposed attention mechanism is implemented in a simple, yet effective, way by augmenting a simple attention module in the CNN of an encoder. Experiments on the DeepMind Control Suite environments show that the proposed attention module can extract interpretable task - relevance information such as agent locations and movements without the use of data augations or augmentations, and significantly improve the sampleefficiency and final performance of the agents."
SP:31a7051d08d19c01e11f1fac2f3041ed2fa28f15,"This paper proposes an extension of GradNorm ( Chen et al., 2018 ) for training multi - task neural networks, where different tasks share and thus compete for the network parameters. GradNorm eases the fitting of all individual tasks by dynamically equalizing the contribution of each task to the overall gradient magnitude. However, it does not prevent the individual tasks ’ gradients from conflicting, i.e., pointing towards opposite directions, and thus resulting in a poor multitask performance. In this work, the authors propose an extension to GradNorm that addresses this problem by dynamically homogenizing not only the gradient magnitudes but also their directions across tasks. For this purpose, they add a layer of task - specific rotation matrices that aligns all the task gradients. They also analyze the theoretical guarantees on the algorithm stability and convergence. Finally, they show that their experiments on several real - world datasets and network architectures show that Rotograd outperforms previous approaches for multitask learning."
SP:ac9ebd027b92527d9a87b13ad11d002d99a2b0f6,"This paper proposes a new I2I translation constraint, called Minimal Geometry - Distortion Constraint ( MGC ), which promotes the consistency of geometry structures and reduces the unwanted distortions in translation by reducing the randomness of color transformation in the translation process. To facilitate estimation and maximization of MGC, an approximate representation of mutual information called relative Squared - Loss ( SQUALL ) is proposed. The effectiveness of the proposed MGC is demonstrated on quantitative and qualitative comparisons with the state - of - the - art methods on several benchmark datasets."
SP:92a38d7d18f07f68b8f93c61180e2cc1dddd21de,"This paper studies the sampling sensitivity of point sampling patterns in point cloud GANs. The paper proposes a sampling spectrum to represent the different sampling sensitivities of discriminators. It also proposes a middle - point sampling - aware baseline discriminator, PointNet - Mix, which improves all existing point cloud generators by a large margin on the sampling - related metrics. Extensive experiments show that sampling - insensitive discriminators produce shape point clouds with point clustering artifacts, while sampling - over - sensitive discriminators fail to guide valid shape generation."
SP:16c4be3eb162bc81cb3343c2fc115eb8e926a5b5,"This paper proposes a novel vote attack method to attack capsule neural networks ( CapsNets ) by directly attacking the votes of the output capsules. Specifically, the authors propose a novel novel method to circumvent the class - conditioned reconstruction part of the detection - aware attack paradigm by inserting the vote attack into the original detection - based attack paradigm, bypassing the detection detection method. Extensive experiments demonstrate the superior attack performance of the proposed novel attack method."
SP:dbd093dff7a38ba8882bb8119c34623ddaaf4cc6,"This paper proposes a meta - reinforcement learning algorithm for online adaptation where the agent needs to trade - off between two types of behaviour within the same episode. The proposed method learns an informed policy ( i.e., a policy receiving as input the description of the current task ) that is used to both construct task - specific and task - generalization policies. The authors propose to use privileged information in the form of a task descriptor at train time to improve the learning of recurrent policies. They evaluate their algorithm in a variety of environments that require sophisticated exploration / exploitation strategies and show that it outperforms vanilla RNNs, Thompson sampling and the task - inference approaches to meta - re - reward learning."
SP:bd89d254fbf31db61db237d08ab42981e27c52df,"This paper proposes an adaptive policy learning method to learn offline RL policies in a real - world sequential recommendation system ( SRS ), where the offline dataset is not available for online sampling and the simulator is generated by an offline dataset. The authors argue that due to the stochasticity and unsteadiness of the real world and the unavailability of online sampling in SRS, the distortion of the simulator in the offline setting is inevitable. To deal with this issue, the authors propose to learn to adapt to diverse simulators generated by the dataset in an offline RL setting. The proposed method is based on the model learning technique and is shown to outperform the existing methods in both synthetic and real world settings."
SP:1a166b28cf684e0d5759bd629f6a53370d2bf11c,"This paper proposes a method for learning goal - reaching policies from scratch without expert demonstrations or a value function. The method is based on imitation learning, where trajectories generated by the agent are used as successful trajectories for reaching the final state of the goal. The agent learns to imitate the trajectories it generates by relabeling them with the policy of the previous iteration, and maximizes the likelihood of the actions taken along these trajectories under the goal that was actually reached, under the current policy. The proposed method is shown to converge to a policy that achieves the goal within a fixed number of iterations. Experiments show that the proposed method outperforms a number of baselines in several benchmark tasks.  "
