,paper_id,gen_sum
0,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,This paper proposes a new algorithm for federated learning (FL) based on selective quantized stochastic gradient descent (sqSGD). The proposed algorithm is motivated by the fact that the privacy-preserving quantization of FL algorithms is not always possible in practice. The authors propose to use a randomized rotation to reduce the quantization error of the gradients of the FL algorithm. They also propose a gradient subsampling strategy to improve the communication efficiency of the algorithm. The experimental results show that the proposed algorithm outperforms existing FL algorithms in terms of training performance and communication costs.
1,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,This paper proposes a new algorithm for federated learning (FL) based on selective quantized stochastic gradient descent (sqSGD). The proposed algorithm is motivated by the fact that the privacy-preserving quantization of FL algorithms is not always possible in practice. The authors propose to use a randomized rotation to reduce the quantization error of the gradients of the FL algorithm. They also propose a gradient subsampling strategy to improve the communication efficiency of the algorithm. The experimental results show that the proposed algorithm outperforms existing FL algorithms in terms of training performance and communication costs.
2,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,This paper proposes a new algorithm for federated learning (FL) based on selective quantized stochastic gradient descent (sqSGD). The proposed algorithm is motivated by the fact that the privacy-preserving quantization of FL algorithms is not always possible in practice. The authors propose to use a randomized rotation to reduce the quantization error of the gradients of the FL algorithm. They also propose a gradient subsampling strategy to improve the communication efficiency of the algorithm. The experimental results show that the proposed algorithm outperforms existing FL algorithms in terms of training performance and communication costs.
3,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,"This paper proposes a method for self-attention networks (SANs) that leverages prior knowledge to improve the performance of the model. The method is based on a combination of prior word frequency knowledge, prior translation lexicon knowledge, and prior bilingual data. The authors show that the proposed method is able to achieve better performance than the state-of-the-art Transformer-based baseline."
4,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,"This paper proposes a method for self-attention networks (SANs) that leverages prior knowledge to improve the performance of the model. The method is based on a combination of prior word frequency knowledge, prior translation lexicon knowledge, and prior bilingual data. The authors show that the proposed method is able to achieve better performance than the state-of-the-art Transformer-based baseline."
5,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,"This paper proposes a method for self-attention networks (SANs) that leverages prior knowledge to improve the performance of the model. The method is based on a combination of prior word frequency knowledge, prior translation lexicon knowledge, and prior bilingual data. The authors show that the proposed method is able to achieve better performance than the state-of-the-art Transformer-based baseline."
6,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,This paper proposes a Bayesian Stackelberg Markov Game (BSMG) model for moving target defense (MTD). BSMGs are a variant of Bayesian Markov Games (BMGs) that can be viewed as an extension of BSMG. The authors propose to use a reinforcement learning approach to learn the optimal movement policy for BSMGGs. The proposed method is evaluated on a variety of MTD domains and compared to other state-of-the-art methods.
7,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,This paper proposes a Bayesian Stackelberg Markov Game (BSMG) model for moving target defense (MTD). BSMGs are a variant of Bayesian Markov Games (BMGs) that can be viewed as an extension of BSMG. The authors propose to use a reinforcement learning approach to learn the optimal movement policy for BSMGGs. The proposed method is evaluated on a variety of MTD domains and compared to other state-of-the-art methods.
8,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,This paper proposes a Bayesian Stackelberg Markov Game (BSMG) model for moving target defense (MTD). BSMGs are a variant of Bayesian Markov Games (BMGs) that can be viewed as an extension of BSMG. The authors propose to use a reinforcement learning approach to learn the optimal movement policy for BSMGGs. The proposed method is evaluated on a variety of MTD domains and compared to other state-of-the-art methods.
9,SP:97911e02bf06b34d022e7548beb5169a1d825903,"This paper studies the problem of unsupervised disentangled representation learning in VAE-based models. The authors propose a method to disentangle the latent representations of VAE models using a signed permutation transformation. The method is motivated by the observation that VAE im-plementation choices can lead to PCA-like behavior of data sam4 ples. To address this issue, the authors propose to use multi-plea VAEs, which can be viewed as a VAE ensemble. The main contribution of the paper is to show that the proposed method can be applied to VAE ensembles, and that it is able to achieve better disentanglement performance than existing methods."
10,SP:97911e02bf06b34d022e7548beb5169a1d825903,"This paper studies the problem of unsupervised disentangled representation learning in VAE-based models. The authors propose a method to disentangle the latent representations of VAE models using a signed permutation transformation. The method is motivated by the observation that VAE im-plementation choices can lead to PCA-like behavior of data sam4 ples. To address this issue, the authors propose to use multi-plea VAEs, which can be viewed as a VAE ensemble. The main contribution of the paper is to show that the proposed method can be applied to VAE ensembles, and that it is able to achieve better disentanglement performance than existing methods."
11,SP:97911e02bf06b34d022e7548beb5169a1d825903,"This paper studies the problem of unsupervised disentangled representation learning in VAE-based models. The authors propose a method to disentangle the latent representations of VAE models using a signed permutation transformation. The method is motivated by the observation that VAE im-plementation choices can lead to PCA-like behavior of data sam4 ples. To address this issue, the authors propose to use multi-plea VAEs, which can be viewed as a VAE ensemble. The main contribution of the paper is to show that the proposed method can be applied to VAE ensembles, and that it is able to achieve better disentanglement performance than existing methods."
12,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,This paper proposes a zero-shot approach for automated machine learning (AutoML). The proposed method is based on a graph neural network and a meta-feature extractor. The proposed model is trained using a transformer-based language embedding and a free-text description model. The authors show that the proposed model outperforms the state-of-the-art models on a variety of tasks.
13,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,This paper proposes a zero-shot approach for automated machine learning (AutoML). The proposed method is based on a graph neural network and a meta-feature extractor. The proposed model is trained using a transformer-based language embedding and a free-text description model. The authors show that the proposed model outperforms the state-of-the-art models on a variety of tasks.
14,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,This paper proposes a zero-shot approach for automated machine learning (AutoML). The proposed method is based on a graph neural network and a meta-feature extractor. The proposed model is trained using a transformer-based language embedding and a free-text description model. The authors show that the proposed model outperforms the state-of-the-art models on a variety of tasks.
15,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"This paper studies the problem of compositional generalization in neural network optimization. The authors argue that compositional learning is important for generalization, and propose a new method for learning compositional models. The method is based on the idea that the compositionality of a neural network can be achieved by learning a compositionality loss that is independent of the architecture of the network. "
16,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"This paper studies the problem of compositional generalization in neural network optimization. The authors argue that compositional learning is important for generalization, and propose a new method for learning compositional models. The method is based on the idea that the compositionality of a neural network can be achieved by learning a compositionality loss that is independent of the architecture of the network. "
17,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"This paper studies the problem of compositional generalization in neural network optimization. The authors argue that compositional learning is important for generalization, and propose a new method for learning compositional models. The method is based on the idea that the compositionality of a neural network can be achieved by learning a compositionality loss that is independent of the architecture of the network. "
18,SP:f99a1b2dbcb7a7b30dbfcfc60668e94b4ad53410,This paper proposes a method for entity alignment in Knowledge Graph (KG) representation learning. The proposed method is based on a scoring function that measures the distance between the embedding space of an entity and a pre-aligned entity in the KG. The authors propose to use a margin to measure the discrepancy between the representations of the two entities. The margin is defined as the difference between the representation of the pre-aligned entity and the embeddings of the aligned entity.  The authors show that the proposed method outperforms the state-of-the-art embedding-based entity alignment methods. 
19,SP:f99a1b2dbcb7a7b30dbfcfc60668e94b4ad53410,This paper proposes a method for entity alignment in Knowledge Graph (KG) representation learning. The proposed method is based on a scoring function that measures the distance between the embedding space of an entity and a pre-aligned entity in the KG. The authors propose to use a margin to measure the discrepancy between the representations of the two entities. The margin is defined as the difference between the representation of the pre-aligned entity and the embeddings of the aligned entity.  The authors show that the proposed method outperforms the state-of-the-art embedding-based entity alignment methods. 
20,SP:f99a1b2dbcb7a7b30dbfcfc60668e94b4ad53410,This paper proposes a method for entity alignment in Knowledge Graph (KG) representation learning. The proposed method is based on a scoring function that measures the distance between the embedding space of an entity and a pre-aligned entity in the KG. The authors propose to use a margin to measure the discrepancy between the representations of the two entities. The margin is defined as the difference between the representation of the pre-aligned entity and the embeddings of the aligned entity.  The authors show that the proposed method outperforms the state-of-the-art embedding-based entity alignment methods. 
21,SP:0e42de72d10040289283516ec1bd324788f7d371,"This paper proposes a sensor-based method to reduce the storage and energy cost of a CNN-based imaging system, called SACoD. The proposed method is based on differential neural architecture search (DNS) and uses a mask-based architecture search method to find the best mask for a given sensor. The method is evaluated on the PhlatCam imaging system and compared to the state-of-the-art SOTA and SOTA-based methods."
22,SP:0e42de72d10040289283516ec1bd324788f7d371,"This paper proposes a sensor-based method to reduce the storage and energy cost of a CNN-based imaging system, called SACoD. The proposed method is based on differential neural architecture search (DNS) and uses a mask-based architecture search method to find the best mask for a given sensor. The method is evaluated on the PhlatCam imaging system and compared to the state-of-the-art SOTA and SOTA-based methods."
23,SP:0e42de72d10040289283516ec1bd324788f7d371,"This paper proposes a sensor-based method to reduce the storage and energy cost of a CNN-based imaging system, called SACoD. The proposed method is based on differential neural architecture search (DNS) and uses a mask-based architecture search method to find the best mask for a given sensor. The method is evaluated on the PhlatCam imaging system and compared to the state-of-the-art SOTA and SOTA-based methods."
24,SP:493afcfa3fd64967785928ba3acecf3ffa6ce579,"This paper proposes a method for estimating the average developmental path of a population of honey bees. The authors use a dataset of lifetime trajectories of individual bees and use a temporal matrix factorization model to estimate the average trajectory of each individual bee. The method is based on the fact that the number of individuals in the population is correlated with the size of the social network, and the authors show that the model is able to capture behavioral heterogeneity in the behavior of the bees. "
25,SP:493afcfa3fd64967785928ba3acecf3ffa6ce579,"This paper proposes a method for estimating the average developmental path of a population of honey bees. The authors use a dataset of lifetime trajectories of individual bees and use a temporal matrix factorization model to estimate the average trajectory of each individual bee. The method is based on the fact that the number of individuals in the population is correlated with the size of the social network, and the authors show that the model is able to capture behavioral heterogeneity in the behavior of the bees. "
26,SP:493afcfa3fd64967785928ba3acecf3ffa6ce579,"This paper proposes a method for estimating the average developmental path of a population of honey bees. The authors use a dataset of lifetime trajectories of individual bees and use a temporal matrix factorization model to estimate the average trajectory of each individual bee. The method is based on the fact that the number of individuals in the population is correlated with the size of the social network, and the authors show that the model is able to capture behavioral heterogeneity in the behavior of the bees. "
27,SP:08ae056f269c731b92b5a3d59e18f9ccfc0b703c,"This paper proposes a data augmentation method for accelerated magnetic resonance imaging (MRI) reconstruction. The proposed method is based on the idea of data augmentations (DA), which is a popular method for image restoration and reconstruction in medical imaging. The main idea is to augment the data with invariances that are not present in the original data. The authors show that the proposed method can be applied to both the low-data and high-data regime of MRI reconstruction, and show that it is able to improve the performance on the fastMRI dataset."
28,SP:08ae056f269c731b92b5a3d59e18f9ccfc0b703c,"This paper proposes a data augmentation method for accelerated magnetic resonance imaging (MRI) reconstruction. The proposed method is based on the idea of data augmentations (DA), which is a popular method for image restoration and reconstruction in medical imaging. The main idea is to augment the data with invariances that are not present in the original data. The authors show that the proposed method can be applied to both the low-data and high-data regime of MRI reconstruction, and show that it is able to improve the performance on the fastMRI dataset."
29,SP:08ae056f269c731b92b5a3d59e18f9ccfc0b703c,"This paper proposes a data augmentation method for accelerated magnetic resonance imaging (MRI) reconstruction. The proposed method is based on the idea of data augmentations (DA), which is a popular method for image restoration and reconstruction in medical imaging. The main idea is to augment the data with invariances that are not present in the original data. The authors show that the proposed method can be applied to both the low-data and high-data regime of MRI reconstruction, and show that it is able to improve the performance on the fastMRI dataset."
30,SP:3fdaae674a2b9d437a43d32778437dc7df9c1686,"This paper proposes a deep repulsive clustering (DRC) algorithm for order learning. The proposed algorithm is based on the order-identity decomposition (ORID) network, which decomposes order-related features and identity features into a repulsive term and a rank term. The authors demonstrate the effectiveness of the proposed algorithm on a variety of tasks, including age estimation, aesthetic score regression, and color image classification."
31,SP:3fdaae674a2b9d437a43d32778437dc7df9c1686,"This paper proposes a deep repulsive clustering (DRC) algorithm for order learning. The proposed algorithm is based on the order-identity decomposition (ORID) network, which decomposes order-related features and identity features into a repulsive term and a rank term. The authors demonstrate the effectiveness of the proposed algorithm on a variety of tasks, including age estimation, aesthetic score regression, and color image classification."
32,SP:3fdaae674a2b9d437a43d32778437dc7df9c1686,"This paper proposes a deep repulsive clustering (DRC) algorithm for order learning. The proposed algorithm is based on the order-identity decomposition (ORID) network, which decomposes order-related features and identity features into a repulsive term and a rank term. The authors demonstrate the effectiveness of the proposed algorithm on a variety of tasks, including age estimation, aesthetic score regression, and color image classification."
