,paper_id,gen_sum
0,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,"This paper studies the problem of privacy-preserving federated learning (FL) under local differential privacy constraints. The authors propose a gradient-based learning algorithm called sqSGD (selective quantized stochastic gradient descent) that addresses both concerns. The proposed algorithm is based on a novel privacy preserving quantization scheme that uses a constant number of bits per dimension per client. Then the authors improve the base algorithm in two ways: first, they apply a gradient subsampling strategy that offers simultaneously better training performance and smaller communication costs under a fixed privacy budget. Secondly, they utilize randomized rotation as a preprocessing step to reduce quantization error. Finally, the practicality of the proposed framework is demonstrated on benchmark datasets."
1,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,"This paper studies the problem of privacy-preserving federated learning (FL) under local differential privacy constraints. The authors propose a gradient-based learning algorithm called sqSGD (selective quantized stochastic gradient descent) that addresses both concerns. The proposed algorithm is based on a novel privacy preserving quantization scheme that uses a constant number of bits per dimension per client. Then the authors improve the base algorithm in two ways: first, they apply a gradient subsampling strategy that offers simultaneously better training performance and smaller communication costs under a fixed privacy budget. Secondly, they utilize randomized rotation as a preprocessing step to reduce quantization error. Finally, the practicality of the proposed framework is demonstrated on benchmark datasets."
2,SP:7f4b788b00a2a10bcd60351c3e04c8f597101e96,"This paper studies the problem of privacy-preserving federated learning (FL) under local differential privacy constraints. The authors propose a gradient-based learning algorithm called sqSGD (selective quantized stochastic gradient descent) that addresses both concerns. The proposed algorithm is based on a novel privacy preserving quantization scheme that uses a constant number of bits per dimension per client. Then the authors improve the base algorithm in two ways: first, they apply a gradient subsampling strategy that offers simultaneously better training performance and smaller communication costs under a fixed privacy budget. Secondly, they utilize randomized rotation as a preprocessing step to reduce quantization error. Finally, the practicality of the proposed framework is demonstrated on benchmark datasets."
3,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,"This paper proposes a self-attention network (SAN) method that leverages prior knowledge to improve the language representation. The method is based on the idea that prior knowledge is useful for language representation learning. The authors propose to use the word frequency knowledge for monolingual data and other prior translation lexicon knowledge for the bilingual data, respectively. The proposed method is evaluated on WMT14 English-to-German and WMT17 Chinese-toEnglish translation tasks."
4,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,"This paper proposes a self-attention network (SAN) method that leverages prior knowledge to improve the language representation. The method is based on the idea that prior knowledge is useful for language representation learning. The authors propose to use the word frequency knowledge for monolingual data and other prior translation lexicon knowledge for the bilingual data, respectively. The proposed method is evaluated on WMT14 English-to-German and WMT17 Chinese-toEnglish translation tasks."
5,SP:632666b52c7c551d67fbbe70c06ed589c3a5e187,"This paper proposes a self-attention network (SAN) method that leverages prior knowledge to improve the language representation. The method is based on the idea that prior knowledge is useful for language representation learning. The authors propose to use the word frequency knowledge for monolingual data and other prior translation lexicon knowledge for the bilingual data, respectively. The proposed method is evaluated on WMT14 English-to-German and WMT17 Chinese-toEnglish translation tasks."
6,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,This paper proposes a Bayesian Stackelberg Markov Games (BSMG) model that can model uncertainty over attacker types and the nuances of an MTD system. The model is trained using Bayesian reinforcement learning (BRL). The authors show that the learned model converges to an SSE of a BSMG and then demonstrate that it improves the state-of-the-art in MTD for web-application security.
7,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,This paper proposes a Bayesian Stackelberg Markov Games (BSMG) model that can model uncertainty over attacker types and the nuances of an MTD system. The model is trained using Bayesian reinforcement learning (BRL). The authors show that the learned model converges to an SSE of a BSMG and then demonstrate that it improves the state-of-the-art in MTD for web-application security.
8,SP:e3e728837f26acb9da283a42c219b6c3b3e131cb,This paper proposes a Bayesian Stackelberg Markov Games (BSMG) model that can model uncertainty over attacker types and the nuances of an MTD system. The model is trained using Bayesian reinforcement learning (BRL). The authors show that the learned model converges to an SSE of a BSMG and then demonstrate that it improves the state-of-the-art in MTD for web-application security.
9,SP:97911e02bf06b34d022e7548beb5169a1d825903,"This paper proposes a VAE ensemble framework for unsupervised disentangled representation learning. The proposed method is based on the assumption that the latent representations are unique in their own ways, and the disentanglement representations are “alike” (similar up to a signed permutation transformation). The authors propose a pair-wise linear transformation between the latent reprere14 sentations. The authors show both theoretically and experimentally that the proposed method encourages the linear transformations connecting the VAEs to be trivial transformations, aligning the latent representation of different models to be  alike."
10,SP:97911e02bf06b34d022e7548beb5169a1d825903,"This paper proposes a VAE ensemble framework for unsupervised disentangled representation learning. The proposed method is based on the assumption that the latent representations are unique in their own ways, and the disentanglement representations are “alike” (similar up to a signed permutation transformation). The authors propose a pair-wise linear transformation between the latent reprere14 sentations. The authors show both theoretically and experimentally that the proposed method encourages the linear transformations connecting the VAEs to be trivial transformations, aligning the latent representation of different models to be  alike."
11,SP:97911e02bf06b34d022e7548beb5169a1d825903,"This paper proposes a VAE ensemble framework for unsupervised disentangled representation learning. The proposed method is based on the assumption that the latent representations are unique in their own ways, and the disentanglement representations are “alike” (similar up to a signed permutation transformation). The authors propose a pair-wise linear transformation between the latent reprere14 sentations. The authors show both theoretically and experimentally that the proposed method encourages the linear transformations connecting the VAEs to be trivial transformations, aligning the latent representation of different models to be  alike."
12,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,This paper proposes a zero-shot approach to automated machine learning (AutoML) that predicts a high-quality model for a supervised learning task and dataset in real-time without fitting a single model. The proposed method uses a transformer-based language embedding to represent datasets and algorithms using their free-text descriptions and a meta-feature extractor to represent the data. The graph neural network in which each node represents a dataset to predict the best machine learning pipeline for a new test dataset. The paper leverages the progress of unsupervised representation learning in natural language processing to provide a significant boost to AutoML.
13,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,This paper proposes a zero-shot approach to automated machine learning (AutoML) that predicts a high-quality model for a supervised learning task and dataset in real-time without fitting a single model. The proposed method uses a transformer-based language embedding to represent datasets and algorithms using their free-text descriptions and a meta-feature extractor to represent the data. The graph neural network in which each node represents a dataset to predict the best machine learning pipeline for a new test dataset. The paper leverages the progress of unsupervised representation learning in natural language processing to provide a significant boost to AutoML.
14,SP:59f9de3ebe4a04d2fc8778d8e3415bf85efb7822,This paper proposes a zero-shot approach to automated machine learning (AutoML) that predicts a high-quality model for a supervised learning task and dataset in real-time without fitting a single model. The proposed method uses a transformer-based language embedding to represent datasets and algorithms using their free-text descriptions and a meta-feature extractor to represent the data. The graph neural network in which each node represents a dataset to predict the best machine learning pipeline for a new test dataset. The paper leverages the progress of unsupervised representation learning in natural language processing to provide a significant boost to AutoML.
15,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"This paper studies the problem of compositional generalization in neural networks. The authors argue that gradient descent is one of the reasons that make compositionality learning hard during neural network optimization. They find that the optimization process imposes a bias toward non-compositional solutions. Based on this finding, they suggest that compositional learning approaches considering only model architecture design are unlikely to achieve complete compositionality."
16,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"This paper studies the problem of compositional generalization in neural networks. The authors argue that gradient descent is one of the reasons that make compositionality learning hard during neural network optimization. They find that the optimization process imposes a bias toward non-compositional solutions. Based on this finding, they suggest that compositional learning approaches considering only model architecture design are unlikely to achieve complete compositionality."
17,SP:0f74dff929a4908405ebfa8e60fe1860eec6364f,"This paper studies the problem of compositional generalization in neural networks. The authors argue that gradient descent is one of the reasons that make compositionality learning hard during neural network optimization. They find that the optimization process imposes a bias toward non-compositional solutions. Based on this finding, they suggest that compositional learning approaches considering only model architecture design are unlikely to achieve complete compositionality."
